,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado
7:00 - 8:00,Intro_Programacion (Intro_Programacion_A) [salon_4],---,---,---,---,---
8:00 - 9:00,Intro_Programacion (Intro_Programacion_A) [salon_4],---,---,---,IA_Aplicada (IA_Aplicada_A) [salon_8],---
9:00 - 10:00,IA_Aplicada (IA_Aplicada_A) [salon_8],---,---,---,IA_Aplicada (IA_Aplicada_A) [salon_8],---
10:00 - 11:00,IA_Aplicada (IA_Aplicada_A) [salon_8],---,Intro_Programacion (Intro_Programacion_A) [salon_7],---,---,IA_Aplicada (IA_Aplicada_B) [salon_3]
11:00 - 12:00,---,---,Intro_Programacion (Intro_Programacion_A) [salon_7],---,---,IA_Aplicada (IA_Aplicada_B) [salon_3]
12:00 - 13:00,---,---,---,---,---,IA_Aplicada (IA_Aplicada_B) [salon_3]
13:00 - 14:00,IA_Aplicada (IA_Aplicada_B) [salon_3],---,---,---,---,---
14:00 - 15:00,IA_Aplicada (IA_Aplicada_B) [salon_3],---,---,---,---,---
15:00 - 16:00,---,---,IA_Aplicada (IA_Aplicada_A) [salon_6],---,---,---
16:00 - 17:00,---,---,IA_Aplicada (IA_Aplicada_A) [salon_6],---,Intro_Programacion (Intro_Programacion_A) [salon_4],---
17:00 - 18:00,---,---,IA_Aplicada (IA_Aplicada_A) [salon_6],---,Intro_Programacion (Intro_Programacion_A) [salon_4],---
18:00 - 19:00,---,---,---,---,Intro_Programacion (Intro_Programacion_A) [salon_4],---
19:00 - 20:00,---,---,---,IA_Aplicada (IA_Aplicada_B) [r_virtual],---,---
20:00 - 21:00,---,---,---,IA_Aplicada (IA_Aplicada_B) [r_virtual],---,---
