,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado
7:00 - 8:00,Calculo_II (Calculo_II_A) - Prof_2 [salon_6] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_10],---,---,---,IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_5],Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_17]
8:00 - 9:00,Calculo_II (Calculo_II_A) - Prof_2 [salon_6] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_10],Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_12],---,---,IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_5],Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_17]
9:00 - 10:00,---,Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_12],---,---,IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_5],Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_17]
10:00 - 11:00,---,---,---,---,---,---
11:00 - 12:00,---,---,---,---,---,Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_19]
12:00 - 13:00,---,---,---,---,---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_12] | Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_19]
13:00 - 14:00,IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_1] | Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_11],---,---,---,---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_12] | Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_19]
14:00 - 15:00,IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_1] | Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_11],---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_10],---,---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_12]
15:00 - 16:00,---,---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_10],---,---,---
16:00 - 17:00,---,---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_10],---,---,---
17:00 - 18:00,---,---,Calculo_II (Calculo_II_A) - Prof_2 [salon_17],---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_2],---
18:00 - 19:00,---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_3],IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_1] | Calculo_II (Calculo_II_A) - Prof_2 [salon_17],---,Calculo_II (Calculo_II_A) - Prof_2 [salon_6] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_2],---
19:00 - 20:00,---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_3],IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_1] | Calculo_II (Calculo_II_A) - Prof_2 [salon_17],---,Calculo_II (Calculo_II_A) - Prof_2 [salon_6],---
20:00 - 21:00,---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_3],---,---,Calculo_II (Calculo_II_A) - Prof_2 [salon_6],---
