,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado
7:00 - 8:00,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_10],---,Calculo_II (Calculo_II_B) - Prof_2 [salon_7],---,---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_17]
8:00 - 9:00,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_10],Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_12],IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_6] | Calculo_II (Calculo_II_B) - Prof_2 [salon_7],---,---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_17]
9:00 - 10:00,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_12] | Calculo_II (Calculo_II_B) - Prof_2 [salon_7],Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_12],IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_6] | Calculo_II (Calculo_II_B) - Prof_2 [salon_7],---,---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_17]
10:00 - 11:00,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_12] | Calculo_II (Calculo_II_B) - Prof_2 [salon_7],---,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_6],---,Calculo_II (Calculo_II_B) - Prof_2 [salon_10],---
11:00 - 12:00,---,---,---,---,Calculo_II (Calculo_II_B) - Prof_2 [salon_10],Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_19]
12:00 - 13:00,---,---,---,---,---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_12] | Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_19]
13:00 - 14:00,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_11],---,---,---,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_12],Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_12] | Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_19]
14:00 - 15:00,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_11],---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_10],---,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_12],Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_12]
15:00 - 16:00,---,---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_10],---,---,---
16:00 - 17:00,---,---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_10],---,---,---
17:00 - 18:00,---,---,---,---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_2],---
18:00 - 19:00,---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_3],---,---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_2],---
19:00 - 20:00,---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_3],---,---,---,---
20:00 - 21:00,---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_3],---,---,---,---
