,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado
7:00 - 8:00,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_3],Sist_Organizacionales (Sist_Organizacionales_B) - Prof_4 [salon_14],---,---,---,---
8:00 - 9:00,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_3],Sist_Organizacionales (Sist_Organizacionales_B) - Prof_4 [salon_14],---,---,---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_11]
9:00 - 10:00,---,Sist_Organizacionales (Sist_Organizacionales_B) - Prof_4 [salon_14],---,Estr_Discretas (Estr_Discretas_B) - Prof_2 [r_virtual],Sist_Organizacionales (Sist_Organizacionales_B) - Prof_4 [salon_14],Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_11]
10:00 - 11:00,---,---,---,Estr_Discretas (Estr_Discretas_B) - Prof_2 [r_virtual],Sist_Organizacionales (Sist_Organizacionales_B) - Prof_4 [salon_14],Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_11]
11:00 - 12:00,---,---,---,---,---,---
12:00 - 13:00,---,---,---,---,---,Estr_Discretas (Estr_Discretas_B) - Prof_2 [salon_6]
13:00 - 14:00,Estr_Discretas (Estr_Discretas_B) - Prof_2 [salon_6],---,---,---,---,Estr_Discretas (Estr_Discretas_B) - Prof_2 [salon_6]
14:00 - 15:00,Estr_Discretas (Estr_Discretas_B) - Prof_2 [salon_6],---,Calculo_II (Calculo_II_A) - Prof_2 [salon_11],---,---,Estr_Discretas (Estr_Discretas_B) - Prof_2 [salon_6] | Fisica_Sistemas (Fisica_Sistemas_B) - Prof_3 [salon_20]
15:00 - 16:00,---,---,Calculo_II (Calculo_II_A) - Prof_2 [salon_11],---,---,Fisica_Sistemas (Fisica_Sistemas_B) - Prof_3 [salon_20]
16:00 - 17:00,Calculo_II (Calculo_II_A) - Prof_2 [salon_2],---,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_3],---,Calculo_II (Calculo_II_A) - Prof_2 [salon_11],Fisica_Sistemas (Fisica_Sistemas_B) - Prof_3 [salon_20]
17:00 - 18:00,Calculo_II (Calculo_II_A) - Prof_2 [salon_2] | Fisica_Sistemas (Fisica_Sistemas_B) - Prof_3 [salon_20],---,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_3],---,Calculo_II (Calculo_II_A) - Prof_2 [salon_11] | IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_3],---
18:00 - 19:00,Calculo_II (Calculo_II_A) - Prof_2 [salon_2] | Fisica_Sistemas (Fisica_Sistemas_B) - Prof_3 [salon_20],---,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_3],---,Calculo_II (Calculo_II_A) - Prof_2 [salon_11] | IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_3],---
19:00 - 20:00,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_11],---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_11],---,---,---
20:00 - 21:00,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_11],---,Fisica_Sistemas (Fisica_Sistemas_B) - Prof_3 [salon_20] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_11],---,---,---
21:00 - 22:00,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_11],---,Fisica_Sistemas (Fisica_Sistemas_B) - Prof_3 [salon_20] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_11],---,---,---
