,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado
7:00 - 8:00,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_1] | Calculo_II (Calculo_II_B) - Prof_2 [salon_3],---,---,---,---,---
8:00 - 9:00,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_1] | Calculo_II (Calculo_II_B) - Prof_2 [salon_3],Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_2],---,---,---,---
9:00 - 10:00,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_3],Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_2],---,---,---,Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_2]
10:00 - 11:00,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_3],Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_2],---,---,---,Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_2]
11:00 - 12:00,---,---,---,---,---,---
12:00 - 13:00,---,---,---,---,---,IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_10]
13:00 - 14:00,---,---,---,---,---,IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_10]
14:00 - 15:00,---,---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_1] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_3] | Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_19],---,---,---
15:00 - 16:00,---,---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_1] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_3] | Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_19],---,---,---
16:00 - 17:00,IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_10],---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_1] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_3] | Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_19],---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_3],---
17:00 - 18:00,IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_10],---,---,---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_3] | Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_19],---
18:00 - 19:00,IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_10],---,Calculo_II (Calculo_II_B) - Prof_2 [salon_3],---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_19],---
19:00 - 20:00,---,---,Calculo_II (Calculo_II_B) - Prof_2 [salon_3] | IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_10],---,Calculo_II (Calculo_II_B) - Prof_2 [salon_3] | Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_19],---
20:00 - 21:00,---,---,Calculo_II (Calculo_II_B) - Prof_2 [salon_3] | IA_Aplicada (IA_Aplicada_B) - Prof_1 [salon_10],---,Calculo_II (Calculo_II_B) - Prof_2 [salon_3],---
