,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado
7:00 - 8:00,Calculo_II (Calculo_II_A) - Prof_2 [salon_13],---,---,---,Calculo_II (Calculo_II_A) - Prof_2 [salon_10],IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_12] | Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_8]
8:00 - 9:00,Calculo_II (Calculo_II_A) - Prof_2 [salon_13] | Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_7],---,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_7],---,Calculo_II (Calculo_II_A) - Prof_2 [salon_10],IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_12] | Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_8]
9:00 - 10:00,Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_7],---,Calculo_II (Calculo_II_A) - Prof_2 [salon_13] | Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_7],---,Calculo_II (Calculo_II_A) - Prof_2 [salon_10],Estr_Discretas (Estr_Discretas_A) - Prof_2 [salon_8]
10:00 - 11:00,---,---,Calculo_II (Calculo_II_A) - Prof_2 [salon_13] | Fisica_Sistemas (Fisica_Sistemas_A) - Prof_3 [salon_7] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_12],---,---,---
11:00 - 12:00,---,---,Calculo_II (Calculo_II_A) - Prof_2 [salon_13] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_12],---,---,---
12:00 - 13:00,---,---,---,Estr_Discretas (Estr_Discretas_A) - Prof_2 [r_virtual],---,---
13:00 - 14:00,---,---,---,Estr_Discretas (Estr_Discretas_A) - Prof_2 [r_virtual],---,---
14:00 - 15:00,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_12],---,---,---,---,---
15:00 - 16:00,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_12],---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_17],---,---,---
16:00 - 17:00,---,---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_17],---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_17],---
17:00 - 18:00,---,---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_17],---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_17] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_12],---
18:00 - 19:00,---,---,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_12],---,Sist_Organizacionales (Sist_Organizacionales_A) - Prof_4 [salon_17] | Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_12],---
19:00 - 20:00,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_12],---,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_12],---,Intro_Programacion (Intro_Programacion_A) - Prof_1 [salon_12],---
20:00 - 21:00,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_12],---,IA_Aplicada (IA_Aplicada_A) - Prof_1 [salon_12],---,---,---
